real_name,column_height,diffusion_coef,ellipse_major_axis,tgsd_mean,total_erupted_mass,wind_direction,wind_speed
1,13029.2,865.887,14187.4,-1.52453,76343600000.0,238.30900000000003,4.03592
9,25679.0,1708.35,21077.3,0.289907,178057000000.0,170.90099999999998,0.947315
47,12395.9,2514.14,24492.2,-1.79088,193171000000.0,175.895,10.3221
58,19544.0,1181.71,12039.7,-1.67334,46474700000.0,200.11599999999999,4.6703
62,16032.9,891.882,14662.2,-0.598174,92397600000.0,204.132,1.9423
69,25979.9,2224.26,13102.3,0.998057,169551000000.0,218.47799999999998,2.19545
70,10029.9,1111.4,24023.2,-0.0225146,176665000000.0,173.6,5.71483
77,24011.9,2738.29,19822.4,0.663272,109124000000.0,210.361,1.4289399999999999
139,11487.4,1403.31,11051.5,0.664057,102336000000.0,202.15400000000002,0.8916120000000001
145,15817.1,1919.63,20714.4,-1.796,87599700000.0,177.002,3.28075
157,10330.8,2570.49,19830.1,1.39307,135267000000.0,244.412,1.949
326,19039.6,2131.74,21279.1,-0.7918810000000001,144385000000.0,203.755,1.97242
406,22707.8,1794.35,21549.7,0.08848660000000001,143019000000.0,200.615,0.870469
424,29421.6,606.1030000000001,24453.6,-1.6803,157882000000.0,190.55599999999998,4.284619999999999
439,20057.3,1883.43,18712.3,-0.860174,131788000000.0,174.665,3.10016
449,22266.9,1350.38,24472.9,-1.60265,162851000000.0,168.266,1.96015
452,12109.4,967.925,15470.9,-1.58254,65499500000.0,197.2,7.21397
