Easting,Northing,Thickness,Size - 5 phi,Size - 4 phi,Size - 3 phi,Size - 2 phi,Size - 1 phi,Size 0 phi,Size 1 phi,Size 2 phi,Size 3 phi,Size 4 phi,Size 5 phi,total,
235614,8190354,14,0,0,0,0,0,0,0,0,0,0,0,0,
233908,8189011,16,0,0,0,0,0,0,0,0,0,0,0,0,
239587,8185586,9,0,0,0,0,0,0,0,0,0,0,0,0,
229788,8193427,5,0,0,0,0,0,0,0,0,0,0,0,0,
236163,8190958,28,0,0,0,0,0,0,0,0,0,0,0,0,
236538,8191417,20,0,0,0,0,0,0,0,0,0,0,0,0,
234195,8198194,4,0,0,0,0,0,0,0,0,0,0,0,0,
231595,8198480,4,0,0,0,0,0,0,0,0,0,0,0,0,
231694,8197619,4,0,0,0,0,0,0,0,0,0,0,0,0,
228433,8192778,7,0,0,0,0,0,0,0,0,0,0,0,0,
235327,8184950,20,0,0,0,0,0,0,0,0,0,0,0,0,
237454,8185525,20,0,0,0,0,0,0,0,0,0,0,0,0,
238954,8189678,29,0,0,0,0,0,0,0,0,0,0,0,0,
239760,8190677,34,0,0,0,0,0,0,0,0,0,0,0,0,
238665,8188244,22,0,0,0,0,0,0,0,0,0,0,0,0,
240931,8186974,9,0,0,0,0,0,0,0,0,0,0,0,0,
241878,8190407,14,0,0,0,0,0,0,0,0,0,0,0,0,
244814,8189459,6,0,0,0,0,0,0,0,0,0,0,0,0,
244750,8189532,25,0,0,0,0,0,0,0,0,0,0,0,0,
237006,8202926,8,0,0,0,0,0,0,0,0,0,0,0,0,
245486,8201343,4,0,0,0,0,0,0,0,0,0,0,0,0,
235682,8187652,25,0,0,0,0,0,0,0,0,0,0,0,0,
237496,8190167,30,0,0,0,0,0,0,0,0,0,0,0,0,
233194,8190440,10,0,0,0,0,0,0,0,0,0,0,0,0,
233837,8195775,10,0,0,0,0,0,0,0,0,0,0,0,0,
236686,8192411,28,0,0,0,0,0,0,0,0,0,0,0,0,
247863,8185501,6,0,0,0,0,0,0,0,0,0,0,0,0,
236616,8177416,8,0,0,0,0,0,0,0,0,0,0,0,0,
223413,8178296,6,0,0,0,0,0,0,0,0,0,0,0,0,
221457,8184523,7,0,0,0,0,0,0,0,0,0,0,0,0,
