site_name easting northing thickness
e:235614.0_n:8190354.0 235614 8190354 49.265102
e:233908.0_n:8189011.0 233908 8189011 42.117651
e:239587.0_n:8185586.0 239587 8185586 29.129401
e:229788.0_n:8193427.0 229788 8193427 4.821637
e:236163.0_n:8190958.0 236163 8190958 49.085430
e:236538.0_n:8191417.0 236538 8191417 48.023951
e:234195.0_n:8198194.0 234195 8198194 2.577015
e:231595.0_n:8198480.0 231595 8198480 0.501232
e:231694.0_n:8197619.0 231694 8197619 1.148698
e:228433.0_n:8192778.0 228433 8192778 2.899778
e:235327.0_n:8184950.0 235327 8184950 33.140733
e:237454.0_n:8185525.0 237454 8185525 36.577692
e:238954.0_n:8189678.0 238954 8189678 48.456777
e:239760.0_n:8190677.0 239760 8190677 43.739036
e:238665.0_n:8188244.0 238665 8188244 47.889227
e:240931.0_n:8186974.0 240931 8186974 29.455065
e:241878.0_n:8190407.0 241878 8190407 31.158175
e:244814.0_n:8189459.0 244814 8189459 9.083392
e:244750.0_n:8189532.0 244750 8189532 9.530436
e:237006.0_n:8202926.0 237006 8202926 0.020787
e:245486.0_n:8201343.0 245486 8201343 0.017504
e:235682.0_n:8187652.0 235682 8187652 47.712516
e:237496.0_n:8190167.0 237496 8190167 51.481009
e:233194.0_n:8190440.0 233194 8190440 35.077721
e:233837.0_n:8195775.0 233837 8195775 10.719580
e:236686.0_n:8192411.0 236686 8192411 43.517864
e:247863.0_n:8185501.0 247863 8185501 0.154173
e:236616.0_n:8177416.0 236616 8177416 2.091107
e:223413.0_n:8178296.0 223413 8178296 1.010116
e:221457.0_n:8184523.0 221457 8184523 0.371158
