site_name easting northing thickness
e:235614.0_n:8190354.0 235614 8190354 22.653395
e:233908.0_n:8189011.0 233908 8189011 16.764275
e:239587.0_n:8185586.0 239587 8185586 15.070426
e:229788.0_n:8193427.0 229788 8193427 5.037919
e:236163.0_n:8190958.0 236163 8190958 24.389241
e:236538.0_n:8191417.0 236538 8191417 25.356917
e:234195.0_n:8198194.0 234195 8198194 6.330445
e:231595.0_n:8198480.0 231595 8198480 2.662400
e:231694.0_n:8197619.0 231694 8197619 3.672915
e:228433.0_n:8192778.0 228433 8192778 3.554136
e:235327.0_n:8184950.0 235327 8184950 12.745925
e:237454.0_n:8185525.0 237454 8185525 15.507658
e:238954.0_n:8189678.0 238954 8189678 26.712346
e:239760.0_n:8190677.0 239760 8190677 27.702914
e:238665.0_n:8188244.0 238665 8188244 23.473016
e:240931.0_n:8186974.0 240931 8186974 17.597845
e:241878.0_n:8190407.0 241878 8190407 23.660756
e:244814.0_n:8189459.0 244814 8189459 12.841848
e:244750.0_n:8189532.0 244750 8189532 13.162238
e:237006.0_n:8202926.0 237006 8202926 1.221258
e:245486.0_n:8201343.0 245486 8201343 1.452556
e:235682.0_n:8187652.0 235682 8187652 18.964124
e:237496.0_n:8190167.0 237496 8190167 26.491932
e:233194.0_n:8190440.0 233194 8190440 15.281970
