real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
0,0.447423,0.111648,8.12873,11.4756,14.7241,16.2531,13.9529,24.0736,11.1365,21.9267,3.45143,16.822,8.65255,19.2526,21.0093,0.106787,24.2378,10.167,4.19175,16.7082,9.81864,14.0833,3.63138,16.4024,5.06088,11.5839,4.60821,4.42753,4.0555,0.331964
1,0.00688,0.014996,0.457612,0.907456,0.617227,0.883682,5.21432,3.53719,6.50741,2.14739,7.08746,9.54298,9.39237,10.3064,10.7097,2.09564,10.3589,0.666463,10.8082,12.5103,13.9004,14.1898,13.2985,14.5052,15.1335,15.4235,15.4722,15.4639,2.73747,11.4989
2,1.14644,0.305285,12.2059,15.2764,19.7458,20.6505,14.2157,24.125,11.2663,23.6613,4.15048,14.7318,8.42219,16.1828,17.227,0.281932,19.6264,13.4912,4.43682,13.4539,8.23502,10.9706,3.67254,12.1686,4.50188,8.45893,3.72513,3.60537,4.44353,0.507685
3,0.451859,0.06833,10.4777,14.0116,19.561,20.7122,12.7273,25.2725,9.36557,24.7067,2.42212,13.4395,6.38122,15.2333,16.5492,0.055576,19.575,12.1801,2.68616,12.0666,6.33907,9.33795,2.10929,10.7966,2.85341,6.86022,2.35879,2.25656,3.06572,0.142251
4,0.050984,0.080874,0.858718,1.38369,0.937389,1.24032,5.91371,3.88119,7.41725,2.43238,8.46511,11.0145,10.9872,12.1013,12.7426,3.13605,12.2538,0.881742,13.1489,15.7688,18.3478,19.338,17.1589,20.6372,21.0958,23.5653,23.0121,22.9323,2.85218,14.0725
5,0.017556,0.037342,0.446321,0.797262,0.481008,0.683216,4.76937,2.81537,6.30839,1.57986,7.5975,10.0652,10.1565,11.2337,11.9263,2.61827,11.3616,0.447126,12.7354,15.3764,18.4945,19.5176,17.3986,20.9322,21.9058,24.3613,23.9006,23.8195,1.94877,13.9603
6,2.75568,0.940883,9.17485,10.1169,11.3746,11.7567,8.03347,12.29,6.40151,11.9177,2.64825,7.46877,4.62362,7.94304,8.28491,0.330844,9.26468,6.54763,2.49812,6.43235,3.99983,5.10092,1.92897,5.45849,2.16567,3.67711,1.5977,1.54809,1.83195,0.251875
7,0.006879,0.013977,0.471612,0.936309,0.668952,0.946056,5.22907,3.6933,6.46854,2.28004,6.78684,9.71827,9.33754,10.5855,11.0629,1.78495,10.7712,0.73893,10.6195,12.9101,14.2415,14.7362,13.2723,15.216,15.4827,16.2499,16.1927,16.1734,2.96906,11.3191
8,0.865999,0.209867,10.2192,13.3892,18.5651,19.6185,12.6095,24.4227,9.56301,24.015,2.88092,13.611,6.83329,15.4344,16.7957,0.127489,19.8224,12.5852,3.17928,12.5515,6.94561,9.99455,2.58706,11.5735,3.40234,7.66552,2.90027,2.78674,3.71097,0.252205
9,0.0132,0.033779,0.3237,0.614883,0.400978,0.576589,4.0662,2.61922,5.34474,1.47966,6.01976,9.26014,8.7476,10.6248,11.4914,1.92131,11.1842,0.418895,10.7022,14.7308,17.2085,18.9341,15.102,20.9723,20.1139,24.5999,23.5755,23.4453,2.03658,11.8306
