real_name,column_height,diffusion_coef,ellipse_major_axis,ellipse_minor_axis,tgsd_mean,tgsd_sigma,total_erupted_mass,wind_direction,wind_speed
0,20753.9,6770.23,14136.7,7501.95,-1.59299,1,6.54464e+10,216.913,4.68972
1,19131.4,2070.14,10706.5,14114.9,-5,1,1.12953e+11,213.233,5.30918
2,22567.3,3496.43,12364.6,14107,0.482338,1,9.88097e+10,210.346,8
3,18813.5,3155.1,11097,9430.61,2.84283,1,1.90901e+10,217.976,2.31506
4,20342.6,4793.79,8574.23,10220.2,0.690331,1,3.50997e+10,224.634,7.0054
5,20192.4,4132.71,10623.2,10001.4,2.1924,1,1e+10,215.554,8
6,22299.1,3338.42,15000,15000,-5,1,1.88091e+11,209.019,7.30005
7,19338,6371.96,14094.6,13737.1,2.97576,1,1.19295e+10,223.74,4.28187
8,17704.7,4455.23,9156.73,9396.41,-4.76347,1,2.54396e+11,220.352,8
9,19195.1,10000,8957.86,13515.9,-4.72547,1,4.7633e+10,218.847,8
