iteration,_is_super,_lambda,_scale_factor,column_height,diffusion_coef,ellipse_major_axis,ellipse_minor_axis,tgsd_mean,tgsd_sigma,total_erupted_mass,wind_direction,wind_speed
0,0,0.1,1,21000,5000,11500,11500,-1.99,,8.02724e+10,217,5
0,0,0.1,0.75,21000,5000,11500,11500,-1.99,1,8.07008e+10,217,5
0,0,1,1,21000,5000,11500,11500,-1.99,,8.02724e+10,217,5
0,0,1,0.75,21000,5000,11500,11500,-1.99,1,8.07009e+10,217,5
0,0,10,1,21000,5000,11500,11500,-1.99,,8.02728e+10,217,5
0,0,10,0.75,21000,5000,11500,11500,-1.99,1,8.07012e+10,217,5
0,0,100,1,21000,5000,11500,11500,-1.99,,8.02767e+10,217,5
0,0,100,0.75,21000,5000,11500,11500,-1.99,1,8.07041e+10,217,5
0,0,1000,1,21000,5000,11500,11500,-1.99,,8.0315e+10,217,5
0,0,1000,0.75,21000,5000,11500,11500,-1.99,1,8.0733e+10,217,5
1,0,0.1,1,21000,5000,11500,11500,-1.99,,8.02453e+10,217,5
1,0,0.1,0.75,21000,5000,11500,11500,-1.99,1,8.02521e+10,217,5
1,0,1,1,21000,5000,11500,11500,-1.99,,8.02453e+10,217,5
1,0,1,0.75,21000,5000,11500,11500,-1.99,1,8.02521e+10,217,5
1,0,10,1,21000,5000,11500,11500,-1.99,,8.02453e+10,217,5
1,0,10,0.75,21000,5000,11500,11500,-1.99,1,8.02521e+10,217,5
1,0,100,1,21000,5000,11500,11500,-1.99,,8.02454e+10,217,5
1,0,100,0.75,21000,5000,11500,11500,-1.99,1,8.02521e+10,217,5
1,0,1000,1,21000,5000,11500,11500,-1.99,,8.0246e+10,217,5
1,0,1000,0.75,21000,5000,11500,11500,-1.99,1,8.02526e+10,217,5
2,0,0.1,1,21000,5000,11500,11500,-1.99,,8.02452e+10,217,5
2,0,0.1,0.75,21000,5000,11500,11500,-1.99,1,8.02452e+10,217,5
2,0,1,1,21000,5000,11500,11500,-1.99,,8.02452e+10,217,5
2,0,1,0.75,21000,5000,11500,11500,-1.99,1,8.02452e+10,217,5
2,0,10,1,21000,5000,11500,11500,-1.99,,8.02452e+10,217,5
2,0,10,0.75,21000,5000,11500,11500,-1.99,1,8.02452e+10,217,5
2,0,100,1,21000,5000,11500,11500,-1.99,,8.02452e+10,217,5
2,0,100,0.75,21000,5000,11500,11500,-1.99,1,8.02452e+10,217,5
2,0,1000,1,21000,5000,11500,11500,-1.99,,8.02452e+10,217,5
2,0,1000,0.75,21000,5000,11500,11500,-1.99,1,8.02452e+10,217,5
