site_name easting northing thickness
e:235614.0_n:8190354.0 7168 6194 0.000000
e:233908.0_n:8189011.0 8874 7537 0.000000
e:239587.0_n:8185586.0 3195 10962 0.000000
e:229788.0_n:8193427.0 12994 3121 0.000000
e:236163.0_n:8190958.0 6619 5590 0.000000
e:236538.0_n:8191417.0 6244 5131 0.000000
e:234195.0_n:8198194.0 8587 -1646 0.000000
e:231595.0_n:8198480.0 11187 -1932 0.000000
e:231694.0_n:8197619.0 11088 -1071 0.000000
e:228433.0_n:8192778.0 14349 3770 0.000000
e:235327.0_n:8184950.0 7455 11598 0.000000
e:237454.0_n:8185525.0 5328 11023 0.000000
e:238954.0_n:8189678.0 3828 6870 0.000000
e:239760.0_n:8190677.0 3022 5871 0.000000
e:238665.0_n:8188244.0 4117 8304 0.000000
e:240931.0_n:8186974.0 1851 9574 0.000000
e:241878.0_n:8190407.0 904 6141 0.000000
e:244814.0_n:8189459.0 -2032 7089 0.000000
e:244750.0_n:8189532.0 -1968 7016 0.000000
e:237006.0_n:8202926.0 5776 -6378 0.000000
e:245486.0_n:8201343.0 -2704 -4795 0.000000
e:235682.0_n:8187652.0 7100 8896 0.000000
e:237496.0_n:8190167.0 5286 6381 0.000000
e:233194.0_n:8190440.0 9588 6108 0.000000
