real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
0,0.006596,0.016445,0.901754,2.77609,4.32909,6.30754,25.5778,36.9709,28.7608,27.5618,17.192,68.6793,43.54,83.9865,93.5999,2.06919,99.4676,13.0057,40.3088,101.268,96.4102,114.93,61.7521,125.631,97.3705,130.916,127.343,126.818,62.6278,48.2739
1,0.183553,0.109448,4.23288,8.16154,5.86932,9.14403,20.7184,26.8963,19.0171,19.7543,5.09838,28.9659,18.1403,30.7246,31.2911,0.005936,31.4968,1.52212,7.77324,30.6321,24.6123,29.7104,6.43896,30.2152,11.8283,26.4392,9.61261,8.97128,0.969361,0.003396
2,0,0,0,0,0,0,0,0,0,0,7e-06,1e-06,1.1e-05,3e-06,7e-06,0.0005,3e-06,0,0.002282,0.000349,0.013447,0.010092,0.094142,0.017057,0.320722,0.137988,0.578478,0.599376,0,1.29197
3,0,0,0,0,0,0,7e-06,0,3.7e-05,0,0.000745,4.4e-05,0.000235,3.8e-05,3.2e-05,0.022821,1.5e-05,0,0.001276,0.000124,0.000488,0.000266,0.002285,0.000187,0.001398,0.000322,0.000582,0.000602,0,0.004801
4,0.834818,0.00696,0.008323,0.003557,2e-06,1.2e-05,0.002717,5.9e-05,0.001749,1e-06,1.3e-05,0.000282,0.000131,0.000111,5.8e-05,0,3.7e-05,0,0,1.9e-05,1e-06,2e-06,0,1e-06,0,0,0,0,0,0
5,54.5323,0.210047,147.626,145.935,0.559385,3.06575,271.352,61.2853,153.251,2.38195,0.967946,146.283,22.6702,141.463,132.43,0,131.981,0,0.148591,48.8841,2.23605,8.42905,0.003893,8.16107,0.003446,0.190315,5e-06,3e-06,0,0
6,40.0228,4.7275,9.66359,6.53726,0.606141,0.967624,3.52601,1.04774,2.58846,0.299718,0.462261,1.20508,0.882477,0.896779,0.719853,0.000379,0.614507,0.000869,0.126072,0.408352,0.131132,0.141178,0.018344,0.084183,0.009336,0.010898,0.000174,0.000152,0,0
7,0.010104,0.546969,0.000365,0.000329,1e-06,4e-06,0.0086,0.000108,0.018402,4e-06,0.037526,0.007363,0.024866,0.004076,0.002487,0.432387,0.00104,0,0.029811,0.005464,0.01276,0.004704,0.023686,0.001497,0.010142,0.000746,0.000355,0.000353,0,0.000109
8,0,8e-05,0,1e-06,0,0,0.270137,0.000413,1.51167,1e-06,12.4741,1.56935,4.95615,1.27622,1.03301,42.5807,0.508283,0,12.7875,2.90512,5.33766,4.0001,12.7483,2.73182,6.82998,2.79555,2.10319,2.12859,0,1.68993
9,0.108733,0.150256,2.71883,4.63642,5.36493,6.33238,12.963,13.5775,14.0934,11.5211,12.1893,20.0748,17.5371,21.791,22.8106,3.55486,23.1274,7.97501,18.04,24.4944,25.0971,26.7652,22.074,28.1009,26.3917,29.6359,29.8052,29.7631,16.9481,21.8208
10,0,1.4e-05,6e-06,2.1e-05,1e-06,3e-06,0.00514,0.000199,0.016414,2.3e-05,0.133899,0.020977,0.065153,0.019834,0.01835,0.896028,0.011459,0,0.216308,0.04609,0.125888,0.081907,0.325601,0.065672,0.26416,0.100523,0.161163,0.165141,4.2e-05,0.531753
11,0,0,0,0,0,0,0,0,2e-06,0,0.000307,1.6e-05,0.000134,2e-05,2.1e-05,0.014423,1e-05,0,0.002274,0.000194,0.001577,0.000924,0.01005,0.000823,0.009135,0.002262,0.00605,0.006429,0,0.104923
12,4.1e-05,1.65604,7e-06,2.3e-05,0,0,1.99039,0.000215,10.5708,0,43.2343,6.15713,27.3318,4.58765,3.6741,42.4628,1.81635,0,36.6032,6.76729,12.822,6.5304,20.5366,3.99675,7.06381,1.64583,0.059501,0.052846,0,1e-06
13,48.1853,41.322,24.4562,22.7248,9.05056,11.3879,22.6659,13.3767,22.6646,7.28964,21.0273,19.0923,20.4658,17.2369,15.7612,4.4467,14.0099,0.484402,16.0089,14.6028,12.4826,10.965,9.63264,8.32418,6.56917,4.47777,1.27924,1.23236,0.026317,0.047493
14,0.009286,2.71685,0.002672,0.004414,3e-06,3e-05,0.255224,0.003417,0.443557,0.000109,2.27426,0.298033,0.686526,0.238643,0.191196,4.82423,0.102512,0,1.33215,0.296496,0.412911,0.298358,0.752627,0.181173,0.392732,0.104628,0.033177,0.032959,0,0.007065
15,7.72392,12.7327,2.64836,2.24867,0.340891,0.513457,3.79157,0.981194,4.53958,0.370578,6.50395,3.09406,4.62557,2.61797,2.30098,7.69593,1.84838,0.015925,4.76501,2.54557,2.87112,2.21936,3.3769,1.62974,2.23697,1.08782,0.538387,0.532808,0.003619,0.217781
16,0,0,0,0,0,0,6.7e-05,0,0.00047,0,0.013883,0.001043,0.005608,0.001082,0.001042,0.20774,0.000539,0,0.041768,0.004689,0.023847,0.013009,0.091534,0.00997,0.077961,0.020757,0.042649,0.044148,0,0.179016
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2e-05,0,0,1.8e-05,0,5.3e-05,3e-05,0.001994,5e-05,0.005369,0.000826,0.006653,0.00734,0,0.132022
18,0,0,0,0,0,0,0.036283,0.002793,0.166827,0.000351,1.39903,0.529817,1.0929,0.626301,0.670186,4.57775,0.470707,2e-06,4.19019,1.30815,3.23324,2.12023,7.80166,1.92562,8.04598,4.25711,8.1075,8.17919,0.017156,13.5776
