real_name,column_height,diffusion_coef,ellipse_major_axis,ellipse_minor_axis,tgsd_mean,tgsd_sigma,total_erupted_mass,wind_direction,wind_speed
0,25238.8,4842.6,1000,1000,-3.85505,1,9.11837e+10,232.061,5.94404
1,27278.8,6489.54,6621.61,6621.61,0.80047,1,1.14375e+11,222.589,0.657269
2,22578.8,3261.94,19029.5,19029.5,-0.299094,1,1.87137e+11,210.355,20
3,17770.6,4816.34,16933.6,16933.6,-2.56849,1,5.24779e+10,202.158,7.23998
4,11081.3,3789.52,16064.1,16064.1,3.8094,1,3.28696e+10,214.515,3.25505
5,45000,6260.54,10561,10561,-0.51596,1,2e+11,226.502,3.32901
6,18451.1,5805.14,22889.9,22889.9,-2.98282,1,2e+11,260.658,20
7,32364.1,7063.43,1000,1000,0.193916,1,5.91236e+10,209.536,0.743744
8,12144.6,3997.53,14835.4,14835.4,-4.96335,1,7.99821e+10,229.597,20
9,45000,3979.46,2980.41,2980.41,-4.17582,1,2e+11,242.561,3.83432
10,17439.8,3404.01,8815.18,8815.18,-4.10108,1,1.89792e+11,242.903,20
11,45000,5575.88,4434.88,4434.88,-3.42462,1,1.45488e+11,230.817,4.92701
12,16882.2,5526.19,6922.86,6922.86,1.71679,1,1.25648e+11,223.001,4.27476
13,14346.2,3766.05,1933.49,1933.49,4.85055,1,9.16464e+10,235.071,3.96388
14,8091.36,4532.07,8193.33,8193.33,-5.35998,1,3.56245e+10,203.288,3.848
15,28337.2,3311.17,8508.94,8508.94,-5.62056,1,5.41651e+10,219.63,13.3547
16,21158.4,6114.34,16283.3,16283.3,-3.89799,1,2.56138e+10,219.032,3.88286
17,11262.3,3068.11,11017.1,11017.1,-0.927863,1,5.64005e+10,250.757,5.14965
18,15813.8,3294.66,9395.68,9395.68,-6,1,2e+11,256.658,4.2742
19,17544.1,7648.15,18717.7,18717.7,5.90579,1,5.10247e+10,214.674,20
20,13920.6,2303.36,6023.3,6023.3,-2.271,1,1.65195e+11,246.539,3.63039
21,17172.8,4876.76,10561.1,10561.1,-6,1,1.24101e+11,202.124,10.4203
22,10476.9,5232.92,18883.2,18883.2,-6,1,9.11649e+10,220.872,3.96844
23,21209.9,3876.08,10589.3,10589.3,-6,1,1.7153e+11,245.952,20
24,15640.8,7341.6,11178.9,11178.9,-4.63092,1,1.27262e+11,270,0.582803
25,33418,8000,13168.9,13168.9,1.50955,1,2e+11,227.762,20
26,10388.1,5476.1,11448.8,11448.8,3.50091,1,2e+11,222.153,1.66071
27,17250.5,4139.44,7483.97,7483.97,-1.81987,1,8.21505e+10,240.406,6.81862
28,22248.9,6186.08,18202.7,18202.7,-1.13802,1,3.87984e+10,182.783,10.8035
29,29606,4435.89,4785.45,4785.45,-2.31731,1,4.80531e+10,237.258,2.2538
30,25482,5163.07,14281.7,14281.7,0.755955,1,4.63258e+10,236.516,2.04002
31,22378.7,5269.25,7293.94,7293.94,3.75462,1,9.41098e+10,213.426,2.02924
32,45000,8000,4684.47,4684.47,-3.6494,1,9.78975e+10,218.363,4.01702
33,45000,5665.53,13145.9,13145.9,-4.62775,1,6.12843e+10,192.33,20
34,42525.2,3893.97,11866,11866,-1.65654,1,4.36873e+10,186.137,0.446898
35,6905.7,8000,15527.7,15527.7,0.816062,1,4.71754e+10,202.024,3.72066
36,12903.3,4745,15376.3,15376.3,-4.65279,1,1.71124e+11,204.897,4.11638
37,15748.5,3504.84,10214.9,10214.9,-2.73208,1,1.847e+11,246.028,10.1004
38,18123.5,5674.5,4400.8,4400.8,3.32178,1,1.66049e+11,252.169,20
39,31037.7,7486.84,12851.2,12851.2,3.00814,1,4.09626e+10,203.976,0.209971
40,17390.1,2600.86,16155.2,16155.2,-4.42435,1,1.27092e+11,227.97,15.2253
41,45000,6149.06,9121.52,9121.52,-1.32827,1,5.82695e+10,229.582,0.654457
42,16994.1,3700.76,13391.8,13391.8,-0.819082,1,7.84423e+10,230.151,19.9815
43,16824.4,3295.99,10166.9,10166.9,-1.60298,1,8.72572e+10,241.523,20
44,45000,2909.28,11003.2,11003.2,-3.46617,1,9.65508e+10,229.455,1.20666
