real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
0,7.01731,5.90771,5.02435,4.37832,3.87677,4.52653,10.1306,10.1588,16.7524,3.27027,20.9302,14.1793,25.1154,26.4681,19.8146,6.7676,29.3382,8.56364,20.8368,29.5578,23.3749,28.3786,8.89202,34.9889,8.80717,13.1391,24.1656,6.27947,2.51883,5.20017
1,7.84401,7.93313,5.51439,4.75095,3.67595,5.34269,10.6487,9.92684,16.4913,5.07213,20.2873,13.6929,24.447,28.4308,21.9817,7.66906,30.0629,9.67296,21.6101,30.47,22.9969,27.1841,9.72797,33.2983,8.51926,12.5614,23.6856,5.35436,4.63923,5.00888
2,6.70175,6.42121,8.11625,6.9863,3.34129,2.6634,9.27139,11.1119,16.9631,3.7996,19.3444,12.8906,24.6359,27.2963,20.8556,8.97698,29.2238,9.45521,20.3145,28.9058,21.5218,29.5006,9.47353,33.9889,8.28525,14.2887,24.3205,7.2356,4.30485,6.13365
3,6.88169,4.98892,6.18225,3.48891,6.28018,3.88352,10.6537,9.82469,13.9464,3.71649,19.5322,12.8767,23.6219,27.2206,19.8023,8.2281,26.8108,7.58482,18.7898,29.1813,21.9834,29.7417,8.69628,34.5805,9.88055,13.364,23.1814,5.95649,3.8091,4.54833
4,5.59084,6.00285,7.35405,4.23532,5.29094,4.02226,9.16623,8.7964,15.7326,2.6615,21.8204,15.5204,24.8816,27.3553,21.2264,9.28629,30.6319,7.10158,19.7582,31.0949,20.9341,26.7636,8.17055,33.9063,9.67023,15.1236,24.7583,5.31632,3.92799,5.92684
5,5.10986,6.28831,6.16395,5.55438,2.41672,4.13137,11.3139,8.08733,15.8765,4.03904,19.8256,13.7007,24.2653,27.9316,17.7357,8.72048,29.1001,9.95407,19.1462,31.1083,22.0298,28.1197,9.3219,36.0208,7.37734,14.5283,27.7232,6.36148,5.16652,7.37584
6,7.34205,7.23102,5.40123,5.26244,4.07479,5.8303,11.9114,10.0961,15.1679,3.32454,19.455,13.414,25.0567,27.7375,20.8751,8.2342,27.7878,8.6142,21.2004,30.284,20.7358,27.1717,9.58164,34.3078,8.65459,12.9642,24.8909,5.02146,4.74502,5.39843
7,7.03476,6.0926,7.54694,5.91532,2.97258,4.71414,9.3232,9.79835,16.1513,3.38232,21.9149,13.9189,24.7007,27.3192,21.3721,10.2049,26.9474,7.44687,19.9716,29.9263,21.8347,30.5402,9.36057,34.3576,8.12075,13.3462,23.6739,7.55182,4.96707,5.27863
8,7.14433,6.11115,5.89428,3.35106,2.17688,1.6579,11.7173,10.7546,16.9354,2.99684,19.1591,13.7769,23.7959,27.849,20.7294,7.1124,28.7173,7.2984,19.8532,29.1587,20.9748,28.8692,8.75264,34.8192,10.1031,14.5308,24.4144,6.36513,2.90013,7.77059
9,7.67711,7.34632,8.10239,5.39382,5.16486,4.30854,11.666,8.80829,15.254,1.60662,19.3392,12.1141,25.8592,27.1886,20.3201,8.35105,28.8407,9.18341,20.5969,29.6869,22.2206,28.2789,9.42057,32.4649,8.29728,13.1318,25.3986,6.39031,3.6758,6.44501
10,8.04589,5.27901,5.79757,4.86116,4.12901,3.81799,10.9208,11.2089,17.2935,2.43746,20.0005,13.5079,24.9531,28.4151,18.9268,9.55706,29.2664,6.46631,20.5889,29.1911,21.6813,27.5096,11.0177,33.8239,8.46138,14.5336,25.9261,7.81674,3.42959,6.99632
