iteration,total_runs,obs_realization,par_realization,obgnme
0,95875,0,0,19806.7
0,95875,2,2,8597.43
0,95875,3,3,2299.43
0,95875,4,4,5157.08
0,95875,5,5,8831.98
0,95875,7,7,8827.59
0,95875,8,8,8827.23
0,95875,10,10,8830.09
0,95875,11,11,7624.03
0,95875,13,13,8400.92
0,95875,14,14,8648.43
0,95875,15,15,8414.77
0,95875,16,16,4262.26
0,95875,17,17,8573.35
0,95875,18,18,8201.36
0,95875,19,19,8612.56
0,95875,20,20,27494.3
0,95875,21,21,6569.79
0,95875,22,22,8755.55
0,95875,23,23,2930.7
0,95875,24,24,8819.16
0,95875,25,25,6722.31
0,95875,26,26,12445.1
0,95875,27,27,8562.37
0,95875,28,28,8831.93
0,95875,29,29,9819.87
0,95875,30,30,8831.82
0,95875,31,31,8808.35
0,95875,32,32,2045.87
0,95875,33,33,6303.54
0,95875,34,34,8825.86
0,95875,35,35,7697.59
0,95875,36,36,7217.89
0,95875,37,37,8799.71
0,95875,38,38,3152.09
0,95875,39,39,1770.23
0,95875,40,40,8860.14
0,95875,41,41,2368.04
0,95875,42,42,8002.7
0,95875,43,43,2844.45
0,95875,44,44,8778.5
0,95875,45,45,8783.88
0,95875,46,46,8341.04
0,95875,47,47,1663.23
0,95875,48,48,6610.55
0,95875,49,49,4826.07
0,95875,50,50,8831.91
0,95875,51,51,2451.24
0,95875,52,52,8831.91
0,95875,53,53,11020.4
0,95875,54,54,8805.54
0,95875,55,55,4226.85
0,95875,56,56,8703.42
0,95875,57,57,37253.6
0,95875,58,58,2383.32
0,95875,59,59,2775.6
0,95875,60,60,5304.15
0,95875,61,61,131709
0,95875,62,62,6662.09
0,95875,63,63,1383.58
0,95875,64,64,2705.12
0,95875,65,65,8737.46
0,95875,66,66,8784.89
0,95875,67,67,8821.6
0,95875,68,68,11406.7
0,95875,69,69,8831.22
0,95875,70,70,8829.48
0,95875,71,71,8831.99
0,95875,72,72,6595.45
0,95875,73,73,50059.3
0,95875,74,74,8788.65
0,95875,75,75,8831.51
0,95875,76,76,8825.43
0,95875,77,77,14469
0,95875,78,78,8776.24
0,95875,79,79,8236.83
0,95875,80,80,8831.01
0,95875,81,81,6914.13
0,95875,82,82,8795.7
0,95875,83,83,5080.11
