site_name easting northing thickness
e:235614.0_n:8190354.0 235614 8190354 31.341067
e:233908.0_n:8189011.0 233908 8189011 27.261218
e:239587.0_n:8185586.0 239587 8185586 22.140219
e:229788.0_n:8193427.0 229788 8193427 9.343083
e:236163.0_n:8190958.0 236163 8190958 31.704036
e:236538.0_n:8191417.0 236538 8191417 31.530011
e:234195.0_n:8198194.0 234195 8198194 7.333845
e:231595.0_n:8198480.0 231595 8198480 4.035077
e:231694.0_n:8197619.0 231694 8197619 5.515726
e:228433.0_n:8192778.0 228433 8192778 7.174874
e:235327.0_n:8184950.0 235327 8184950 22.475905
e:237454.0_n:8185525.0 237454 8185525 24.772981
e:238954.0_n:8189678.0 238954 8189678 31.963849
e:239760.0_n:8190677.0 239760 8190677 30.282627
e:238665.0_n:8188244.0 238665 8188244 30.821667
e:240931.0_n:8186974.0 240931 8186974 22.622913
e:241878.0_n:8190407.0 241878 8190407 23.743585
e:244814.0_n:8189459.0 244814 8189459 12.228156
e:244750.0_n:8189532.0 244750 8189532 12.488981
e:237006.0_n:8202926.0 237006 8202926 1.158903
e:245486.0_n:8201343.0 245486 8201343 0.814332
e:235682.0_n:8187652.0 235682 8187652 29.751330
e:237496.0_n:8190167.0 237496 8190167 33.268614
e:233194.0_n:8190440.0 233194 8190440 24.522046
e:233837.0_n:8195775.0 233837 8195775 13.642640
e:236686.0_n:8192411.0 236686 8192411 29.606500
e:247863.0_n:8185501.0 247863 8185501 2.620725
e:236616.0_n:8177416.0 236616 8177416 4.318458
e:223413.0_n:8178296.0 223413 8178296 1.395912
e:221457.0_n:8184523.0 221457 8184523 1.329916
