Easting,Northing,Thickness,Size - 5 phi,Size - 4 phi,Size - 3 phi,Size - 2 phi,Size - 1 phi,Size 0 phi,Size 1 phi,Size 2 phi,Size 3 phi,Size 4 phi,Size 5 phi,total,
235614,8190354,14,14.72,7.87,18.43,22.9,19.6,10,4.27,1.35,0.45,0.22,0.22,100.03,
233908,8189011,16,0,6.16,15.1,23.7,25,17.7,9.09,2.62,0.31,0.15,0.15,99.98,
239587,8185586,9,1.74,7.17,18.04,25.4,24.1,12.6,4.13,1.74,1.74,2.17,1.09,99.92,
229788,8193427,5,1.7,8.52,11.65,14.8,20.5,20.2,13.35,5.97,1.14,1.14,1.14,100.11,
236163,8190958,28,0,8.18,21.3,24.4,22.6,14,6.49,1.97,0.42,0.28,0.42,100.06,
236538,8191417,20,6.4,9.4,20.2,22.6,20,13,5.8,1.6,0.4,0.2,0.4,100,
234195,8198194,4,2.73,7.55,14.88,19.7,20.1,14.5,7.13,3.35,3.98,3.98,2.1,100,
231595,8198480,4,0,0,7.34,22,22,22,13.76,5.5,2.75,2.75,1.83,99.93,
231694,8197619,4,0,2.12,17.16,23.9,24.8,19.5,9.11,2.12,0.42,0.42,0.42,99.97,
228433,8192778,7,0,0,4.73,11.2,16.9,25,21.62,15.54,2.03,2.03,0.68,99.73,
235327,8184950,20,0,2.81,20.79,28.8,23.4,14.4,6.55,1.87,0.19,0.56,0.56,99.93,
237454,8185525,20,0,11.09,15.76,24.9,27.4,14.4,4.86,0.97,0.19,0.19,0.19,99.95,
238954,8189678,29,4.64,16.09,23.62,25.7,17.1,7.68,2.75,0.72,0.58,0.58,0.58,100.04,
239760,8190677,34,0,8.61,26.49,29.8,20.9,9.6,2.98,0.99,0.33,0.17,0.17,100.04,
238665,8188244,22,0,8.97,22.72,26.3,22.1,13.8,4.48,1.2,0.15,0.15,0.15,100.02,
240931,8186974,9,3.05,12.7,24.28,24.9,20.3,9.32,2.89,1.29,0.48,0.48,0.32,100.01,
241878,8190407,14,2.78,23.96,28.47,24,13.5,4.69,1.22,0.35,0.17,0.35,0.52,100.01,
244814,8189459,6,0,20.48,28.7,22.9,13.7,5.12,2.38,2.01,1.83,1.46,1.46,100.04,
244750,8189532,25,8.6,28.17,37.42,15.2,6.45,2.04,0.54,0.32,0.32,0.54,0.43,100.03,
237006,8202926,8,3.27,18.22,21.5,22.9,17.1,9.35,3.04,0.7,1.64,1.64,0.7,100.06,
245486,8201343,4,0,29.73,23.51,16,8.65,3.24,1.62,4.05,6.22,4.59,2.43,100.04,
235682,8187652,25,0,10.01,16.5,26.3,21.9,14,7.48,2.53,0.44,0.44,0.44,100.04,
237496,8190167,30,0,9.78,21.4,24.2,20.9,13.8,6.87,2.13,0.28,0.28,0.28,99.92,
233194,8190440,10,0,21.69,30.94,20.2,12,6.35,2.35,1.66,1.66,1.52,1.66,100.03,
