iteration,_is_super,_lambda,_scale_factor,column_height,diffusion_coef,ellipse_major_axis,ellipse_minor_axis,tgsd_mean,tgsd_sigma,total_erupted_mass,wind_direction,wind_speed
0,0,0.1,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
0,0,0.1,0.75,21000,5000,11500,11500,-1.99,1,5.62341e+10,217,5
0,0,1,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
0,0,1,0.75,21000,5000,11500,11500,-1.99,1,5.62341e+10,217,5
0,0,10,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
0,0,10,0.75,21000,5000,11500,11500,-1.99,1,5.62341e+10,217,5
0,0,100,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
0,0,100,0.75,21000,5000,11500,11500,-1.99,1,5.62341e+10,217,5
0,0,1000,1,21000,5000,11500,11500,-1.99,,2.68307e+10,217,5
0,0,1000,0.75,21000,5000,11500,11500,-1.99,1,2.0964e+10,217,5
1,0,0.1,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
1,0,0.1,0.75,21000,5000,11500,11500,-1.99,1,1e+11,217,5
1,0,1,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
1,0,1,0.75,21000,5000,11500,11500,-1.99,1,1e+11,217,5
1,0,10,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
1,0,10,0.75,21000,5000,11500,11500,-1.99,1,1e+11,217,5
1,0,100,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
1,0,100,0.75,21000,5000,11500,11500,-1.99,1,1e+11,217,5
1,0,1000,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
1,0,1000,0.75,21000,5000,11500,11500,-1.99,1,1e+11,217,5
2,0,0.1,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
2,0,0.1,0.75,21000,5000,11500,11500,-1.99,1,1e+11,217,5
2,0,1,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
2,0,1,0.75,21000,5000,11500,11500,-1.99,1,1e+11,217,5
2,0,10,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
2,0,10,0.75,21000,5000,11500,11500,-1.99,1,1e+11,217,5
2,0,100,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
2,0,100,0.75,21000,5000,11500,11500,-1.99,1,1e+11,217,5
2,0,1000,1,21000,5000,11500,11500,-1.99,,1e+11,217,5
2,0,1000,0.75,21000,5000,11500,11500,-1.99,1,1e+11,217,5
