real_name,obs_e:228433.0_n:8192778.0_x:14153_y:4197,obs_e:229788.0_n:8193427.0_x:12798_y:3548,obs_e:231595.0_n:8198480.0_x:10991_y:-1505,obs_e:231694.0_n:8197619.0_x:10892_y:-644,obs_e:233194.0_n:8190440.0_x:9392_y:6535,obs_e:233908.0_n:8189011.0_x:8678_y:7964,obs_e:234195.0_n:8198194.0_x:8391_y:-1219,obs_e:235327.0_n:8184950.0_x:7259_y:12025,obs_e:235614.0_n:8190354.0_x:6972_y:6621,obs_e:235682.0_n:8187652.0_x:6904_y:9323,obs_e:236163.0_n:8190958.0_x:6423_y:6017,obs_e:236538.0_n:8191417.0_x:6048_y:5558,obs_e:237006.0_n:8202926.0_x:5580_y:-5951,obs_e:237454.0_n:8185525.0_x:5132_y:11450,obs_e:237496.0_n:8190167.0_x:5090_y:6808,obs_e:238665.0_n:8188244.0_x:3921_y:8731,obs_e:238954.0_n:8189678.0_x:3632_y:7297,obs_e:239587.0_n:8185586.0_x:2999_y:11389,obs_e:239760.0_n:8190677.0_x:2826_y:6298,obs_e:240931.0_n:8186974.0_x:1655_y:10001,obs_e:241878.0_n:8190407.0_x:708_y:6568,obs_e:244750.0_n:8189532.0_x:-2164_y:7443,obs_e:244814.0_n:8189459.0_x:-2228_y:7516,obs_e:245486.0_n:8201343.0_x:-2900_y:-4368
0,0.414452,0.528687,0.756487,0.779039,0.715072,0.676915,1.13163,0.466084,0.955392,0.696795,1.07983,1.17538,1.18473,0.596636,1.12821,0.961806,1.18587,0.676996,1.4015,0.880949,1.45415,1.2535,1.23845,1.69447
1,0.038749,0.04943,0.070728,0.072837,0.066856,0.063289,0.105802,0.043577,0.089325,0.065147,0.10096,0.109893,0.110767,0.055783,0.105483,0.089925,0.110874,0.063296,0.131034,0.082365,0.135956,0.117196,0.11579,0.158425
2,0.110539,0.141007,0.201764,0.207779,0.190718,0.180541,0.301817,0.12431,0.254814,0.185843,0.288003,0.313486,0.315982,0.15913,0.300906,0.256525,0.316284,0.180562,0.373795,0.234959,0.387838,0.334322,0.330309,0.451934
3,0.090011,0.11482,0.164294,0.169192,0.155299,0.147013,0.245767,0.101224,0.207492,0.15133,0.234518,0.255269,0.257301,0.129578,0.245025,0.208885,0.257547,0.14703,0.304378,0.191325,0.315812,0.272235,0.268967,0.368005
4,0.20779,0.265063,0.379273,0.39058,0.358509,0.339379,0.567353,0.233676,0.478996,0.349346,0.541385,0.589288,0.593979,0.29913,0.56564,0.482212,0.594548,0.339419,0.702656,0.441674,0.729053,0.628454,0.620911,0.84954
5,0.154432,0.196998,0.28188,0.290284,0.266448,0.252231,0.421664,0.173671,0.355996,0.259638,0.402364,0.437966,0.441452,0.222317,0.42039,0.358386,0.441875,0.25226,0.522222,0.328257,0.541841,0.467075,0.461469,0.631388
6,0.100774,0.12855,0.18394,0.189423,0.17387,0.164592,0.275155,0.113328,0.232303,0.169426,0.262561,0.285793,0.288068,0.145072,0.274324,0.233863,0.288344,0.164611,0.340774,0.214203,0.353576,0.304787,0.301129,0.412009
7,0.367124,0.468315,0.670101,0.690078,0.633415,0.599616,1.0024,0.41286,0.846292,0.617226,0.956522,1.04116,1.04944,0.528504,0.999374,0.851974,1.05045,0.599687,1.24145,0.78035,1.28809,1.11035,1.09703,1.50097
8,0.179476,0.228945,0.327593,0.337359,0.309658,0.293135,0.490045,0.201835,0.413728,0.301744,0.467616,0.508991,0.513043,0.25837,0.488565,0.416506,0.513534,0.29317,0.606911,0.381491,0.629711,0.54282,0.536305,0.733781
9,1.20729,1.54006,2.20363,2.26933,2.08299,1.97184,3.29641,1.35769,2.78304,2.02975,3.14553,3.42385,3.45111,1.73799,3.28645,2.80173,3.45441,1.97208,4.08254,2.56619,4.23591,3.65141,3.60759,4.93596
