real_name,column_height,diffusion_coef,ellipse_major_axis,ellipse_minor_axis,tgsd_mean,tgsd_sigma,total_erupted_mass,wind_direction,wind_speed
0,21046.5,4741.3,7313.91,9973.55,-2.29809,1,1.83344e+10,217.66,5.4303
1,23117.9,3285.01,14231,11982.3,-1.70146,1,1.71419e+09,216.065,2.63468
2,24913.9,6916.38,13929.7,10392,1.44734,1,4.89e+09,216.455,8
3,20489.2,3046.05,9499.28,12260.3,-5,1,3.98187e+09,221.305,8
4,17371,4332.18,10677.3,15000,-0.3682,1,9.19216e+09,219.496,8
5,21784.9,4189.85,10131.8,12692.8,2.96413,1,6.83173e+09,225,8
6,25000,6553.46,14450.2,7586.5,-0.17007,1,4.45801e+09,214.586,2.36691
7,17755,3447.94,13313.5,9164.24,-2.73562,1,1.62407e+10,222.711,8
8,19305.7,2316.44,9732.23,14835.9,0.417769,1,7.93963e+09,213.714,2.80867
9,20045.8,3334.62,13989.9,14384.4,1.06958,1,5.34079e+10,218.594,2.83095
10,19755.9,6669.95,12817.6,11470.8,-3.77687,1,1.3943e+10,213.595,8
11,21833.7,5399.85,11192.5,9122.43,-4.03437,1,1.75573e+09,225,4.70623
12,22828.3,4520.04,7184.41,10776.9,-3.15945,1,2.74371e+09,210.151,3.33434
13,20476.4,5701.59,8757.75,10456.7,-5,1,3.89639e+09,216.916,7.3523
14,20201.1,6984.01,14070.2,9940.9,-5,1,9.51139e+09,216.038,2.35083
15,17541.4,5008.22,12471.5,9652.15,1.23734,1,1.02596e+10,212.83,2.67443
16,20295,2313.9,15000,15000,-2.28602,1,4.76029e+09,223.283,8
17,25000,2981.01,10880.4,14778.2,-4.65477,1,1e+09,212.851,4.76236
18,22876.6,9547.03,10880.7,9832.91,-2.17002,1,9.19226e+09,207.661,5.80848
19,18873.4,6879.63,8001.76,11851.3,1.29468,1,1.10577e+09,216.377,5.10251
20,20537.3,4208.67,9718.74,11321.1,-5,1,2.29212e+10,222.627,8
21,18830.7,9463.54,11578.8,9399.84,-1.18525,1,1e+11,208.958,6.58042
22,25000,6156.58,15000,15000,-1.13489,1,4.12582e+10,209.074,5.73089
23,21201.5,10000,15000,11755.9,-4.07027,1,4.59486e+09,214.265,3.68694
24,21152.6,4298.71,14052.5,12133.8,-2.5206,1,2.02814e+10,223.148,5.79546
25,17869.2,1745.4,13139,12340.2,-2.85352,1,3.03473e+09,216.45,3.00637
26,23096.2,3536.54,11591.9,11746.5,-0.622644,1,2.86853e+10,211.873,7.24774
27,19261.2,4452.03,11905.7,9982.71,2.79719,1,9.10899e+09,215.494,3.50965
28,25000,10000,9036.1,10131.4,-2.06093,1,9.18668e+09,216.167,8
29,21989.6,6143.01,9402.12,9900.46,-5,1,5.96913e+10,221.939,3.4364
30,21390.7,5330.38,8926.78,7882.3,-5,1,1e+09,225,7.40187
31,23664.4,2806.6,9485.01,10927,-5,1,8.40387e+09,220.715,3.15192
32,23014.6,3338.65,11119.7,9484.2,-4.5529,1,8.60159e+09,215.754,7.65479
33,24176.8,6787.01,10056.4,12503.2,-4.73967,1,7.67886e+10,220.447,8
34,24174.7,6272.27,15000,12342.2,2.17512,1,2.53598e+09,213.265,1.44082
