name,value,group,weight
obs_e:228433.0_n:8192778.0_x:14153_y:4197,7,obgnme,1
obs_e:229788.0_n:8193427.0_x:12798_y:3548,5,obgnme,1
obs_e:231595.0_n:8198480.0_x:10991_y:-1505,4,obgnme,1
obs_e:231694.0_n:8197619.0_x:10892_y:-644,4,obgnme,1
obs_e:233194.0_n:8190440.0_x:9392_y:6535,10,obgnme,1
obs_e:233908.0_n:8189011.0_x:8678_y:7964,16,obgnme,1
obs_e:234195.0_n:8198194.0_x:8391_y:-1219,4,obgnme,1
obs_e:235327.0_n:8184950.0_x:7259_y:12025,20,obgnme,1
obs_e:235614.0_n:8190354.0_x:6972_y:6621,14,obgnme,1
obs_e:235682.0_n:8187652.0_x:6904_y:9323,25,obgnme,1
obs_e:236163.0_n:8190958.0_x:6423_y:6017,28,obgnme,1
obs_e:236538.0_n:8191417.0_x:6048_y:5558,20,obgnme,1
obs_e:237006.0_n:8202926.0_x:5580_y:-5951,8,obgnme,1
obs_e:237454.0_n:8185525.0_x:5132_y:11450,20,obgnme,1
obs_e:237496.0_n:8190167.0_x:5090_y:6808,30,obgnme,1
obs_e:238665.0_n:8188244.0_x:3921_y:8731,22,obgnme,1
obs_e:238954.0_n:8189678.0_x:3632_y:7297,29,obgnme,1
obs_e:239587.0_n:8185586.0_x:2999_y:11389,9,obgnme,1
obs_e:239760.0_n:8190677.0_x:2826_y:6298,34,obgnme,1
obs_e:240931.0_n:8186974.0_x:1655_y:10001,9,obgnme,1
obs_e:241878.0_n:8190407.0_x:708_y:6568,14,obgnme,1
obs_e:244750.0_n:8189532.0_x:-2164_y:7443,25,obgnme,1
obs_e:244814.0_n:8189459.0_x:-2228_y:7516,6,obgnme,1
obs_e:245486.0_n:8201343.0_x:-2900_y:-4368,4,obgnme,1
