real_name,obs_e:228433.0_n:8192778.0_x:14153_y:4197,obs_e:229788.0_n:8193427.0_x:12798_y:3548,obs_e:231595.0_n:8198480.0_x:10991_y:-1505,obs_e:231694.0_n:8197619.0_x:10892_y:-644,obs_e:233194.0_n:8190440.0_x:9392_y:6535,obs_e:233908.0_n:8189011.0_x:8678_y:7964,obs_e:234195.0_n:8198194.0_x:8391_y:-1219,obs_e:235327.0_n:8184950.0_x:7259_y:12025,obs_e:235614.0_n:8190354.0_x:6972_y:6621,obs_e:235682.0_n:8187652.0_x:6904_y:9323,obs_e:236163.0_n:8190958.0_x:6423_y:6017,obs_e:236538.0_n:8191417.0_x:6048_y:5558,obs_e:237006.0_n:8202926.0_x:5580_y:-5951,obs_e:237454.0_n:8185525.0_x:5132_y:11450,obs_e:237496.0_n:8190167.0_x:5090_y:6808,obs_e:238665.0_n:8188244.0_x:3921_y:8731,obs_e:238954.0_n:8189678.0_x:3632_y:7297,obs_e:239587.0_n:8185586.0_x:2999_y:11389,obs_e:239760.0_n:8190677.0_x:2826_y:6298,obs_e:240931.0_n:8186974.0_x:1655_y:10001,obs_e:241878.0_n:8190407.0_x:708_y:6568,obs_e:244750.0_n:8189532.0_x:-2164_y:7443,obs_e:244814.0_n:8189459.0_x:-2228_y:7516,obs_e:245486.0_n:8201343.0_x:-2900_y:-4368
0,5.93675,6.16844,2.34268,2.62788,10.2249,16.0101,3.64461,19.9906,14.1278,25.0604,27.9999,19.9298,8.16625,20.5857,31.1434,21.5331,28.4064,9.06467,35.1491,7.49754,15.5071,27.3401,7.85204,4.70887
1,9.49654,6.80046,4.18102,3.54906,9.35516,16.2659,4.53269,19.1625,14.9391,24.2592,27.9221,18.8128,8.35075,21.1003,31.4017,21.5477,29.2551,10.4146,35.5457,8.13403,16.1007,25.6265,5.27937,4.88373
2,7.25873,4.28382,5.1543,4.21857,11.0707,14.7135,4.41329,20.1705,13.058,25.8778,27.7125,21.0569,8.79914,19.9674,30.7321,21.3083,28.6637,6.70499,34.4381,7.66817,14.4395,23.5848,7.85247,4.24547
3,5.43112,5.14583,5.73422,4.38693,10.5971,16.3354,3.62488,20.7715,13.2649,25.3599,29.5241,20.5811,7.59915,21.731,30.1685,20.8776,28.8688,9.19978,34.6601,10.0789,16.287,24.8988,5.34929,5.07677
4,6.55142,5.49595,3.93529,4.83797,9.45514,16.5864,2.77735,18.5533,12.9611,27.7818,29.7495,18.6065,6.74435,20.0752,31.7194,21.9888,30.2386,9.37724,35.1594,7.7717,11.4447,26.4012,5.4707,4.55815
5,8.00355,5.57068,3.55063,4.68844,10.8826,14.8374,2.10015,19.8496,14.9122,24.9992,26.5186,18.899,7.15083,19.956,30.7253,22.1467,28.8078,8.93412,33.4626,9.60798,15.2532,26.0829,6.02273,3.01217
6,6.01061,5.60435,7.0231,1.8404,9.61087,16.3508,4.44365,20.9703,14.1061,24.1153,28.3087,20.1309,8.9205,20.5329,31.7118,23.2996,29.8057,9.17626,33.0878,10.6002,11.8783,24.7882,5.64043,3.71594
7,7.84615,5.33354,1.94006,4.37907,9.12935,18.1136,3.02626,18.2642,12.108,24.8542,26.3891,18.7124,7.55128,18.2127,29.5133,21.8679,29.0949,8.40636,35.4757,9.91981,13.0587,26.2817,6.44707,5.38703
8,5.89683,5.52959,2.84062,3.96514,10.7762,14.3585,5.18414,19.6917,13.6128,25.5675,28.1344,19.0653,8.40784,19.9007,29.1889,21.0341,28.9556,8.7766,33.6185,9.64377,15.4128,25.5652,5.31723,3.02539
9,8.20493,4.10372,4.70338,3.66075,10.6532,16.0529,3.79421,20.9621,13.7927,25.9057,29.1417,20.521,9.97722,19.8151,29.0669,21.9463,29.1253,8.62256,33.7456,9.66366,14.4521,24.0156,5.74947,3.11522
