iteration,total_runs,obs_realization,par_realization,obgnme
0,1000,0,0,7054.82
0,1000,1,1,7694.7
0,1000,2,2,7569.29
0,1000,3,3,7605
0,1000,4,4,7401.77
0,1000,5,5,7493.35
0,1000,6,6,7586.26
0,1000,7,7,7133.19
0,1000,8,8,7450.26
0,1000,9,9,5837.71
0,1000,10,10,7219.94
0,1000,11,11,7693.05
0,1000,12,12,7653.88
0,1000,13,13,7608.37
0,1000,14,14,7389.45
0,1000,15,15,7360.63
0,1000,16,16,7574.38
0,1000,17,17,7723.1
0,1000,18,18,7401.77
0,1000,19,19,7718.89
0,1000,20,20,6885.38
0,1000,21,21,4500.43
0,1000,22,22,6238.86
0,1000,23,23,7580.88
0,1000,24,24,6982.52
0,1000,25,25,7642.37
0,1000,26,26,6676.83
0,1000,27,27,7404.99
0,1000,28,28,7401.98
0,1000,29,29,5638.76
0,1000,30,30,7723.1
0,1000,31,31,7432.26
0,1000,32,32,7424.61
0,1000,33,33,5126.77
0,1000,34,34,7662.1
0,1000,35,35,7180.68
0,1000,36,36,7694.95
0,1000,37,37,7590.11
0,1000,38,38,7697.06
0,1000,39,39,7694.84
0,1000,40,40,7049.26
0,1000,41,41,7475.82
0,1000,42,42,6538.03
0,1000,43,43,7689.73
0,1000,44,44,7525.81
0,1000,45,45,7723.1
0,1000,46,46,7690.21
0,1000,47,47,7509.33
0,1000,48,48,7686.88
0,1000,49,49,7194.69
0,1000,50,50,7116.45
0,1000,51,51,7538.15
0,1000,52,52,7670.75
0,1000,53,53,7216.35
0,1000,54,54,4619.97
0,1000,55,55,5790.18
0,1000,56,56,4667.27
0,1000,57,57,6987.99
0,1000,58,58,6894.5
0,1000,59,59,6284.06
0,1000,60,60,6707.66
0,1000,61,61,6415.36
0,1000,62,62,7062.05
0,1000,63,63,7023.5
0,1000,64,64,5740.91
0,1000,65,65,6389.18
0,1000,66,66,7247.7
0,1000,67,67,7586.22
0,1000,68,68,7351.68
0,1000,69,69,7333.86
0,1000,70,70,7723.1
0,1000,71,71,7185.03
0,1000,72,72,7716.21
0,1000,73,73,6978.22
0,1000,74,74,6137.57
0,1000,75,75,7390.29
0,1000,76,76,6807.02
0,1000,77,77,7520.41
0,1000,78,78,7642.62
0,1000,79,79,7295.98
0,1000,80,80,7649.38
0,1000,81,81,7189.87
0,1000,82,82,7537.87
0,1000,83,83,6834.9
0,1000,84,84,4500.43
0,1000,85,85,7275.05
0,1000,86,86,7184.79
0,1000,87,87,7695.25
0,1000,88,88,5084.24
0,1000,89,89,7602.11
0,1000,90,90,7255.29
0,1000,91,91,7328.73
0,1000,92,92,7549.22
0,1000,93,93,6253.91
0,1000,94,94,7462.92
0,1000,95,95,7544.11
0,1000,96,96,7705.44
0,1000,97,97,7150.6
0,1000,98,98,7664.52
0,1000,99,99,7056.92
0,1000,100,100,7177.09
0,1000,101,101,6882.84
0,1000,102,102,7354.61
0,1000,103,103,6983.34
0,1000,104,104,6262.63
0,1000,105,105,7710.98
0,1000,106,106,7252.03
0,1000,107,107,6816.84
0,1000,108,108,7571.62
0,1000,109,109,7522.36
0,1000,110,110,6573.36
0,1000,111,111,7413.41
0,1000,112,112,7242.7
0,1000,113,113,7664.52
0,1000,114,114,6907.96
0,1000,115,115,7714.6
0,1000,116,116,7148.78
0,1000,117,117,7233.62
0,1000,118,118,7259.89
0,1000,119,119,6312.48
0,1000,120,120,7597.51
0,1000,121,121,7367.39
0,1000,122,122,7490.71
0,1000,123,123,7592.98
0,1000,124,124,7723.1
0,1000,125,125,7569.86
0,1000,126,126,7068.74
0,1000,127,127,7532.94
0,1000,128,128,7437.31
0,1000,129,129,7687.96
0,1000,130,130,7706.42
0,1000,131,131,6701.93
0,1000,132,132,5127.66
0,1000,133,133,7672.01
0,1000,134,134,5100.91
0,1000,135,135,7327.13
0,1000,136,136,6957.52
0,1000,137,137,7554.47
0,1000,138,138,6417.57
0,1000,139,139,7552.5
0,1000,140,140,6948.79
0,1000,141,141,7462.03
0,1000,142,142,4500.43
0,1000,143,143,5845.67
0,1000,144,144,7393.97
0,1000,145,145,7213.19
0,1000,146,146,5890.47
0,1000,147,147,6983.71
0,1000,148,148,4500.43
0,1000,149,149,7466.99
0,1000,150,150,7637.22
0,1000,151,151,6685.54
0,1000,152,152,7595.72
0,1000,153,153,7704.61
0,1000,154,154,7353.41
0,1000,155,155,5095.94
0,1000,156,156,6053.53
0,1000,157,157,5939.81
0,1000,158,158,7299.88
0,1000,159,159,7372.73
0,1000,160,160,7641.07
0,1000,161,161,7624.63
0,1000,162,162,7594.41
0,1000,163,163,7705.68
0,1000,164,164,7355.46
0,1000,165,165,6253.16
0,1000,166,166,7458.54
0,1000,167,167,7362.16
0,1000,168,168,7491.82
0,1000,169,169,4500.43
0,1000,170,170,6770.81
0,1000,171,171,7148.65
0,1000,172,172,7245.37
0,1000,173,173,7587.16
0,1000,174,174,7376.09
0,1000,175,175,7518.97
0,1000,176,176,7591.41
0,1000,177,177,6580.11
0,1000,178,178,7299.15
0,1000,179,179,7451.68
0,1000,180,180,7222.7
0,1000,181,181,7317.93
0,1000,182,182,7346.93
0,1000,183,183,6749.65
0,1000,184,184,7640.3
0,1000,185,185,6138.42
0,1000,186,186,7533.82
0,1000,187,187,7309.42
0,1000,188,188,7651.9
0,1000,189,189,6872.27
0,1000,190,190,7559.29
0,1000,191,191,6632.07
0,1000,192,192,7689.55
0,1000,193,193,7359.81
0,1000,194,194,7259.62
0,1000,195,195,5099.88
0,1000,196,196,7373.05
0,1000,197,197,6258.96
0,1000,198,198,7699.91
0,1000,199,199,7450.79
0,1000,200,200,7027.18
0,1000,201,201,5376.3
0,1000,202,202,7495.94
0,1000,203,203,7573.4
0,1000,204,204,7415.41
0,1000,205,205,7175.8
0,1000,206,206,7557.08
0,1000,207,207,7154.1
0,1000,208,208,7619.5
0,1000,209,209,7149.19
0,1000,210,210,7282.85
0,1000,211,211,7529.54
0,1000,212,212,7385.6
0,1000,213,213,7552.67
0,1000,214,214,7689.44
0,1000,215,215,7593.88
0,1000,216,216,7600.63
0,1000,217,217,7086.24
0,1000,218,218,7533.95
0,1000,219,219,7542.76
0,1000,220,220,7311.91
0,1000,221,221,7289.38
0,1000,222,222,7551.65
0,1000,223,223,7219.18
0,1000,224,224,7607.41
0,1000,225,225,7323.47
0,1000,226,226,7352.03
0,1000,227,227,6805.08
0,1000,228,228,7505.78
0,1000,229,229,7226.65
0,1000,230,230,7366.8
0,1000,231,231,7623.16
0,1000,232,232,7502.34
0,1000,233,233,7432.96
0,1000,234,234,7623.8
0,1000,235,235,7580.76
0,1000,236,236,7652.65
0,1000,237,237,6857.38
0,1000,238,238,7524.13
0,1000,239,239,5702.76
0,1000,240,240,7666.69
0,1000,241,241,6541.84
0,1000,242,242,7490.6
0,1000,243,243,5773.18
0,1000,244,244,6728.92
0,1000,245,245,6798.91
0,1000,246,246,7708.6
0,1000,247,247,6854.13
0,1000,248,248,7568.46
0,1000,249,249,6651.7
0,1000,250,250,6754.43
0,1000,251,251,7685.63
0,1000,252,252,6891.56
0,1000,253,253,7667.96
0,1000,254,254,6542.38
0,1000,255,255,7633.43
0,1000,256,256,5931.91
0,1000,257,257,7455.13
0,1000,258,258,7498.98
0,1000,259,259,6420.83
0,1000,260,260,7400.21
0,1000,261,261,7449.93
0,1000,262,262,6525.01
0,1000,263,263,7441.82
0,1000,264,264,5292.47
0,1000,265,265,7609.67
0,1000,266,266,6898.02
0,1000,267,267,7571.26
0,1000,268,268,7300.94
0,1000,269,269,4500.43
0,1000,270,270,7506.51
0,1000,271,271,7284.74
0,1000,272,272,4500.43
0,1000,273,273,7601.6
0,1000,274,274,7571.17
0,1000,275,275,7264.85
0,1000,276,276,4660.64
0,1000,277,277,7640.62
0,1000,278,278,7621.87
0,1000,279,279,4549.26
0,1000,280,280,7251.67
0,1000,281,281,7246.99
0,1000,282,282,7214.99
0,1000,283,283,7558.63
0,1000,284,284,6995.01
0,1000,285,285,5956.35
0,1000,286,286,7562.19
0,1000,287,287,7134.06
0,1000,288,288,7556.69
0,1000,289,289,6682.3
0,1000,290,290,7631.55
0,1000,291,291,7484.65
0,1000,292,292,7260.39
0,1000,293,293,7618.02
0,1000,294,294,7144.18
