site_name easting northing thickness
e:235614.0_n:8190354.0 6972 6621 0.521092
e:233908.0_n:8189011.0 8678 7964 0.369205
e:239587.0_n:8185586.0 2999 11389 0.369248
e:229788.0_n:8193427.0 12798 3548 0.288358
e:236163.0_n:8190958.0 6423 6017 0.588964
e:236538.0_n:8191417.0 6048 5558 0.641077
e:234195.0_n:8198194.0 8391 -1219 0.617214
e:231595.0_n:8198480.0 10991 -1505 0.412605
e:231694.0_n:8197619.0 10892 -644 0.424905
e:228433.0_n:8192778.0 14153 4197 0.226051
e:235327.0_n:8184950.0 7259 12025 0.254212
e:237454.0_n:8185525.0 5132 11450 0.325419
e:238954.0_n:8189678.0 3632 7297 0.646799
e:239760.0_n:8190677.0 2826 6298 0.764408
e:238665.0_n:8188244.0 3921 8731 0.524591
e:240931.0_n:8186974.0 1655 10001 0.480489
e:241878.0_n:8190407.0 708 6568 0.793125
e:244814.0_n:8189459.0 -2228 7516 0.675479
e:244750.0_n:8189532.0 -2164 7443 0.683685
e:237006.0_n:8202926.0 5580 -5951 0.646180
e:245486.0_n:8201343.0 -2900 -4368 0.924201
e:235682.0_n:8187652.0 6904 9323 0.380048
e:237496.0_n:8190167.0 5090 6808 0.615350
e:233194.0_n:8190440.0 9392 6535 0.390016
